"x","y"
2.4,-1.05528114403371
2.6,-1.12191807275024
3.2,-1.31608552639262
3.6,-1.44229202952273
4,-1.56623567278159
6.2,-2.2053801812245
6.6,-2.3096282140653
6.8,-2.34087733699386
7.8,-2.42829612063339
8.2,-2.50086285791638
8.8,-2.62759264903161
8.8,-2.62759264903161
9.6,-2.89101429909093
10,-2.949379394323
10.2,-2.96472710881307
10.6,-2.98801241005312
11,-2.91494966084399
11.4,-2.78708011364304
13.2,-1.44825491396069
13.6,-3.08576071244755
13.8,-4.47655414697792
14.6,-10.805495779318
14.6,-10.805495779318
14.6,-10.805495779318
14.6,-10.805495779318
14.6,-10.805495779318
14.6,-10.805495779318
14.8,-16.4327970468842
15.4,-34.8882924074202
15.4,-34.8882924074202
15.4,-34.8882924074202
15.4,-34.8882924074202
15.6,-36.119250707603
15.6,-36.119250707603
15.8,-34.3230063563284
15.8,-34.3230063563284
16,-41.4423406818009
16,-41.4423406818009
16.2,-50.7096390950692
16.2,-50.7096390950692
16.2,-50.7096390950692
16.4,-59.8287693569089
16.4,-59.8287693569089
16.6,-69.6205038848748
16.8,-78.3044243006307
16.8,-78.3044243006307
16.8,-78.3044243006307
17.6,-99.019405279954
17.6,-99.019405279954
17.6,-99.019405279954
17.6,-99.019405279954
17.8,-102.366279996199
17.8,-102.366279996199
18.6,-107.593634539616
18.6,-107.593634539616
19.2,-112.080988854659
19.4,-113.402243395118
19.4,-113.402243395118
19.6,-114.696436578603
20.2,-115.883191730004
20.4,-116.009266987696
21.2,-117.477775839421
21.4,-118.018876055247
21.8,-118.601110204891
22,-118.135116082835
23.2,-110.428382496959
23.4,-112.177349639938
24,-98.6650700342781
24.2,-90.9786808826449
24.2,-90.9786808826449
24.6,-75.4280965864763
25,-58.9928174030641
25,-58.9928174030641
25.4,-44.4432823144155
25.4,-44.4432823144155
25.6,-38.278999112434
26,-26.3549089917865
26.2,-24.1525496664533
26.2,-24.1525496664533
26.4,-22.6949634949301
27,-15.5615062457815
27.2,-12.665138793702
27.2,-12.665138793702
27.2,-12.665138793702
27.6,-2.55923456275553
28.2,12.931614900396
28.4,14.9484730445327
28.4,14.9484730445327
28.6,16.3548946756915
29.4,26.1398381177299
30.2,32.2399151041574
31,38.3693517010031
31.2,39.531999854472
32,40.6809016218903
32,40.6809016218903
32.8,38.9611527706594
33.4,32.4621454133367
33.8,31.2899590939488
34.4,29.4581481919117
34.8,29.0534015133453
35.2,28.3698965512763
35.2,28.3698965512763
35.4,28.2891586461482
35.6,28.3872056025747
35.6,28.3872056025747
36.2,27.2936774596732
36.2,27.2936774596732
38,15.5924836651855
38,15.5924836651855
39.2,4.03295394138991
39.4,2.31800754354181
40,1.58472101485495
40.4,0.33985602255766
41.6,-0.147565842104999
41.6,-0.147565842104999
42.4,2.22465912244698
42.8,2.93184398221621
42.8,2.93184398221621
43,3.48052263889954
44,4.65555976967423
44.4,4.24339788424413
45,2.31976732935042
46.6,-5.3160695538737
47.8,-6.11585641972378
47.8,-6.11585641972378
48.8,-5.54827744492787
50.6,-5.39211887543462
52,-3.41190047393258
53.2,-1.0497028504465
55,2.40399986780689
55,2.40399986780689
55.4,3.15101742089436
57.6,7.22329809254171
